"acetic_acid_norm","propionic_acid_norm","butyric_acid_norm","shannon_entropy","chao1","fisher_alpha","margalef","gini_index","menhinick","strong","simpson","faith_pd","pielou_evenness"
452.247,104.194,102.112,6.813607891,202.6666667,32.2192965,20.48710328,0.97845948,1.61666323,0.393331313,0.985497956,23.05671936,0.893077651
266.536,90.781,244.658,6.627946696,152,23.53319641,15.70331267,0.981827833,1.241074803,0.364291228,0.986362711,19.9984433,0.914460952
28.908,15.04,15.951,7.184572154,236.1666667,39.76018054,24.43893031,0.973649677,1.926931931,0.397451977,0.990653031,25.61122942,0.911442026
163.729,40.288,37.335,6.687982002,185,29.71317719,19.13516246,0.980880725,1.510518675,0.414625225,0.985226071,23.45369747,0.888015305
82.166,22.291,25.365,6.857924266,176.1428571,27.62353161,17.99121253,0.978886241,1.420704051,0.371287356,0.989447253,21.26732718,0.92139948
32.109,12.694,11.999,6.645474032,189.3333333,30.48013324,19.55114425,0.98108747,1.543178538,0.425666667,0.983496133,24.38207431,0.878770298
303.12,107.369,71.588,6.416018782,144.75,22.07654242,14.87134908,0.98427026,1.175755077,0.404088889,0.98345552,21.0472244,0.894851589
92.369,25.644,57.781,6.515624031,138,20.99527764,14.24737639,0.983216328,1.126765282,0.358347826,0.985854267,19.99618615,0.916593038
180.506,96.055,82.829,6.356009486,164,25.74926165,16.95125804,0.983574783,1.339054393,0.422343089,0.976404222,22.07964797,0.863875577
56.813,27.428,21.481,6.824003617,204.2,33.19345666,21.00708052,0.979064523,1.657488059,0.42183908,0.986543707,23.28120389,0.890241953
42.251,29.744,28.961,6.763615761,244,40.36861858,24.75091665,0.978012009,1.951426828,0.444576569,0.981326622,26.48389233,0.856059965
125.252,32.743,178.663,6.431892686,121,17.98613983,12.47945378,0.98384208,0.987960863,0.318512397,0.985634631,19.10623307,0.929616971
97.268,36.715,42.549,6.646613914,139,21.17480917,14.35137184,0.98152766,1.134930247,0.327455635,0.987817324,20.24895236,0.933652048
319.93,39.425,74.554,7.315299065,289.2,49.28871426,29.22272092,0.969178534,2.302520358,0.386028369,0.989125538,27.49551092,0.898734924
99.196,62.515,57.657,6.780373621,200.5,32.02514193,20.38310783,0.979521229,1.608498264,0.414431472,0.986019111,22.6695329,0.889573278
242.23,132.439,102.084,6.682708987,204.25,33.38896218,21.11107597,0.980055508,1.665653025,0.439423529,0.982368773,23.09553766,0.871003456
117.427,33.195,21.191,6.890997033,179,28.19056865,18.30319887,0.978029976,1.445198948,0.345868927,0.988676507,21.93231611,0.922785354
14.854,6.773,6.062,7.010252639,203.2,32.41367766,20.59109873,0.976349535,1.624828196,0.364157119,0.989699244,24.84458526,0.917977901
64.449,32.5,52.754,6.864029368,167,26.30895516,17.26324439,0.978584807,1.36354929,0.340754491,0.988774711,19.86581595,0.929618671
135.617,43.889,108.976,6.736095935,161,24.63664175,16.32728536,0.980556974,1.290064598,0.358590717,0.988087893,20.57480738,0.922275212
181.188,46.268,62.433,7.046012067,231.3333333,38.34778314,23.71096217,0.97596082,1.86977717,0.416655604,0.989314098,26.24947453,0.898817311
83.96,32.27,70.91,6.527973218,173.6666667,27.4350026,17.88721708,0.982597604,1.412539085,0.426727938,0.982302498,21.85266668,0.878049718
103.71,50.896,67.082,6.641682798,175.2,27.81230276,18.09520797,0.981592403,1.428869017,0.411380952,0.985101129,20.88811265,0.891356143
13.444,4.317,3.592,6.993012593,212.3333333,34.96099605,21.94303955,0.976829062,1.730972752,0.405074214,0.989226622,24.43416347,0.904902248
148.773,65.891,49.326,7.035026703,198.0833333,32.2192965,20.48710328,0.976046745,1.61666323,0.360662626,0.990239724,23.55483419,0.922099602
393.576,74.665,86.228,6.455982761,191.5,30.86500567,19.75913514,0.981449015,1.55950847,0.420375218,0.975139013,23.00976366,0.852001768
143.341,49.012,66.871,6.627066115,160.25,25.0065048,16.53527625,0.981517352,1.306394529,0.3724,0.985263742,20.05251413,0.905098497
175.871,89.666,134.466,6.355961683,164,25.19181642,16.6392717,0.984534972,1.314559495,0.443952381,0.979535396,21.61762371,0.867007741
105.232,36.581,56.082,6.86114436,202,31.63751486,20.17511694,0.978525138,1.592168333,0.395425641,0.987595351,21.28340219,0.901912245
30.372,12.804,9.563,6.903914349,218.4285714,35.95065028,22.4630168,0.978051852,1.771797581,0.429669432,0.987562373,27.04775454,0.889501872
116.886,41.661,41.686,6.774946757,161.6,25.19181642,16.6392717,0.980038897,1.314559495,0.361762733,0.988683218,20.52664043,0.924160902
70.831,39.161,25.248,6.806155229,215.1111111,34.96099605,21.94303955,0.979766714,1.730972752,0.451644025,0.987069253,32.12294312,0.880722734
177.743,93.396,100.359,6.981599821,198,31.83121452,20.27911238,0.977119937,1.600333299,0.380296599,0.989866036,21.98562372,0.916856973
81.992,31.388,133.066,6.777682996,154,23.71645883,15.80730812,0.97982405,1.249239769,0.332696732,0.989111671,19.94912606,0.93390117
