"acetic_acid_norm","propionic_acid_norm","butyric_acid_norm","[Eubacterium]","[Ruminococcus]","[1-68]","Acidaminococcus","Acinetobacter","Adlercreutzia","AF12","Akkermansia","Alistipes","Anaerostipes","Anaerotruncus","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Butyricicoccus","Butyricimonas","Campylobacter","Catenibacterium","cc_115","Citrobacter","Collinsella","Coprobacillus","Coprococcus","Dehalobacterium","Desulfovibrio","Dialister","Dorea","Enterobacter","Enterococcus","Epulopiscium","Faecalibacterium","Fusobacterium","Gemmiger","Gluconacetobacter","Granulicatella","Haemophilus","Hafnia","Holdemania","human","Klebsiella","Lachnobacterium","Lachnospira","Lactobacillus","Lactococcus","Megamonas","Megasphaera","Methanobrevibacter","Mitsuokella","Morganella","Odoribacter","Oscillospira","Oxalobacter","Parabacteroides","Paraprevotella","Peptococcus","Phascolarctobacterium","Porphyromonas","Prevotella","Pseudomonas","Pseudoramibacter_Eubacterium","rc4.4","RFN20","Rikenella","Roseburia","Ruminococcus","Serratia","Slackia","SMB53","Sneathia","Streptococcus","Sutterella","Synergistes","Turicibacter","Veillonella","WAL_1855D","Weissella"
452.247,104.194,102.112,0,30,0,1076,0,0,0,250,78,72,0,14159,0,81,131,112,28,134,0,0,0,0,0,0,1451,0,0,28,51,0,0,0,2362,0,502,0,0,0,0,26,0,0,68,4880,0,0,0,0,0,0,0,541,2063,0,1061,0,0,1296,0,0,0,0,0,0,0,1284,1435,0,0,0,0,0,670,0,0,0,0,0
266.536,90.781,244.658,0,152,0,0,0,0,0,0,510,770,0,6540,0,51,0,460,62,0,0,0,0,0,0,0,750,0,0,0,378,0,0,0,5665,0,551,0,0,96,0,0,0,0,0,1588,0,0,0,0,0,0,0,148,893,0,783,0,0,0,0,0,16,0,0,0,0,3747,705,0,0,0,0,0,238,0,0,39,0,0
28.908,15.04,15.951,0,0,0,0,0,0,0,724,793,55,0,13770,0,25,52,72,83,134,0,0,0,0,0,0,1003,0,36,0,130,0,0,0,692,0,63,0,0,0,0,0,0,0,1002,2133,0,0,0,0,15,0,0,161,2282,45,1058,595,0,548,0,1365,0,0,0,0,0,1534,1040,0,0,0,0,0,416,0,0,0,0,0
163.729,40.288,37.335,27,653,0,0,0,0,0,388,58,0,0,14629,0,85,60,439,81,132,0,0,0,0,16,0,12,0,0,1422,259,0,0,0,4330,0,1244,0,0,58,0,21,0,0,0,214,0,0,0,0,0,0,0,495,2811,8,1323,0,0,733,0,8,0,0,0,0,0,1051,2448,0,0,65,0,118,89,0,0,387,0,0
82.166,22.291,25.365,356,1,0,0,0,0,0,0,479,36,0,9577,0,0,0,184,105,0,0,343,0,0,0,0,408,0,0,352,56,0,16,0,2276,0,732,0,0,35,0,0,0,0,0,1704,0,0,0,0,0,0,0,483,862,0,679,633,0,0,0,0,0,0,0,0,0,1237,438,0,0,0,0,84,997,0,0,33,0,0
32.109,12.694,11.999,0,0,0,0,0,0,0,987,375,0,0,2328,0,387,42,0,15,184,0,0,0,0,146,0,849,0,0,278,304,0,0,0,712,0,501,0,0,0,0,0,0,0,0,522,0,0,0,0,0,0,0,191,1394,32,580,511,0,0,0,5778,0,0,0,0,0,992,758,0,0,0,0,0,0,0,0,0,0,0
303.12,107.369,71.588,69,19,0,0,0,0,0,0,0,240,0,13439,0,0,0,68,0,0,0,102,0,0,16,0,80,0,0,673,19,0,0,0,2351,0,283,0,0,190,0,0,0,0,0,1173,0,0,0,0,0,0,0,172,1330,0,1384,709,0,330,0,0,0,0,0,0,0,820,66,0,0,0,0,12,1082,0,0,61,0,0
92.369,25.644,57.781,191,35,0,0,0,0,0,0,740,399,0,7175,0,33,0,193,67,0,0,285,0,0,0,0,76,0,0,1022,98,0,0,0,2370,0,439,0,0,0,0,0,0,0,0,2538,0,0,0,0,0,0,0,363,1444,0,526,820,0,70,0,0,0,0,0,0,0,1066,175,0,0,0,0,73,0,0,8,71,0,0
180.506,96.055,82.829,0,129,0,0,0,0,0,387,1147,37,0,13484,0,0,377,104,0,0,330,0,0,0,0,21,1302,0,0,815,65,0,0,0,439,0,73,0,0,0,0,21,0,0,0,1537,0,0,0,0,0,0,0,550,4000,0,0,0,0,0,0,0,0,0,0,0,158,1008,972,0,0,0,0,0,0,0,0,0,0,0
56.813,27.428,21.481,0,0,0,0,0,0,0,0,516,40,0,5188,0,0,0,17,16,114,0,37,0,0,0,0,0,6,140,14,116,0,0,0,1305,0,130,0,0,37,0,0,0,0,340,744,0,0,0,510,0,465,0,241,2242,19,926,207,0,1238,0,9232,0,0,0,0,0,415,443,0,0,0,0,51,257,0,6,36,0,0
42.251,29.744,28.961,0,0,0,0,0,0,7,139,1897,54,0,19200,0,2,99,462,66,323,0,0,0,0,0,0,823,0,0,0,191,0,0,0,1433,0,635,0,0,0,0,5,0,0,0,2009,0,0,0,0,0,0,0,355,2055,35,1076,471,0,0,0,37,0,0,0,0,0,408,1280,0,0,0,0,23,84,0,0,0,0,0
125.252,32.743,178.663,0,24,0,0,0,0,0,0,312,199,0,8189,0,0,0,114,0,0,0,0,0,0,0,0,205,0,0,0,40,0,0,0,3963,0,78,0,0,16,0,0,0,0,0,2378,0,0,0,0,0,0,0,144,608,0,1061,0,0,563,0,0,0,0,0,0,0,2059,206,0,0,0,0,0,611,0,0,0,0,0
97.268,36.715,42.549,0,0,0,0,0,0,0,0,58,0,19,6468,0,34,133,819,0,17,0,0,0,0,0,0,107,0,0,925,46,0,0,0,1512,0,597,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,283,320,1579,0,1005,2053,0,0,0,610,0,0,0,0,0,563,979,0,0,0,0,24,0,0,0,46,0,0
319.93,39.425,74.554,0,112,0,0,0,0,0,155,1250,21,19,13557,0,0,170,730,89,169,0,0,0,0,0,0,1534,0,0,0,61,0,0,0,1528,0,394,0,0,331,0,0,0,0,0,3423,0,0,0,0,31,0,0,477,2371,20,1385,0,0,409,0,0,0,0,11,0,0,243,1534,0,0,0,0,44,1006,120,8,24,0,0
99.196,62.515,57.657,0,308,0,0,0,0,0,0,1250,528,0,7189,0,42,154,162,0,114,0,0,0,0,0,0,0,0,0,987,123,0,0,0,1109,0,413,0,0,26,0,3,0,0,0,325,0,0,0,0,0,109,0,153,2358,0,830,0,0,0,0,6766,0,0,0,0,0,1499,549,0,0,0,0,0,501,0,0,0,0,0
242.23,132.439,102.084,0,242,0,0,0,0,0,0,1673,374,0,6137,0,152,143,340,27,199,0,0,0,0,21,10,18,9,0,809,635,0,0,0,1286,0,538,0,0,20,0,0,0,0,0,447,0,0,0,0,0,96,0,388,2877,0,395,0,0,0,0,7364,0,0,0,0,0,4401,565,0,0,0,0,0,275,0,0,8,3,0
117.427,33.195,21.191,0,95,0,0,0,0,0,0,383,0,43,8658,0,86,248,1426,146,95,0,0,0,0,0,0,657,0,44,852,61,0,0,0,380,0,443,0,0,0,0,0,0,0,146,313,0,0,0,0,0,0,0,183,2391,0,1417,1830,0,0,0,1224,0,11,0,0,0,1162,1583,0,0,0,0,87,0,0,0,0,0,0
14.854,6.773,6.062,126,0,0,50,0,0,0,84,481,39,0,7795,0,0,55,190,0,58,0,0,0,0,0,0,243,0,62,203,97,0,0,0,1622,0,698,0,0,0,0,0,347,0,0,399,0,0,0,77,0,0,0,107,1270,29,572,165,0,0,0,969,0,0,0,37,0,1084,1188,0,0,0,0,144,398,0,0,0,0,0
64.449,32.5,52.754,0,228,0,0,0,0,0,0,431,111,0,6158,0,342,0,365,173,0,0,0,0,102,0,0,240,0,0,0,1581,0,0,0,2920,0,1334,143,0,0,0,45,0,0,159,1442,0,0,0,0,0,0,0,118,1891,0,671,0,0,0,0,0,186,0,0,0,0,3173,2853,0,0,0,0,62,127,0,17,0,0,0
135.617,43.889,108.976,92,41,0,0,0,0,0,0,494,162,0,8253,0,0,0,133,46,0,0,105,0,0,0,0,228,0,0,116,77,0,0,0,2972,0,245,0,0,24,0,0,0,0,0,1837,0,0,0,0,0,0,0,155,756,0,1019,942,0,500,0,0,0,0,0,0,0,1428,516,0,0,0,0,0,466,0,0,18,0,0
181.188,46.268,62.433,0,30,0,0,0,0,0,0,1127,71,0,9977,0,42,36,74,33,300,0,0,22,0,0,0,571,2,0,233,70,0,0,0,1390,0,719,0,3,54,0,0,0,0,188,1560,0,0,0,0,0,0,0,389,2198,20,562,677,0,0,0,0,0,0,22,0,0,357,1018,0,0,0,0,23,21,0,0,64,0,0
83.96,32.27,70.91,286,0,0,0,0,0,0,0,207,77,0,11503,0,36,0,378,253,0,0,302,0,0,80,0,80,0,0,1095,78,0,0,0,2581,0,749,0,0,232,0,0,0,0,0,1160,0,0,0,0,0,0,0,71,1234,0,1605,1567,0,363,0,0,0,0,0,0,0,1012,143,0,0,0,0,104,347,0,32,870,0,0
103.71,50.896,67.082,0,20,0,0,0,0,0,0,42,481,0,14367,0,18,42,196,80,52,0,0,0,0,0,0,661,0,0,0,120,0,0,0,1671,0,749,0,0,35,0,29,0,0,0,1661,0,0,0,0,0,0,0,189,1485,0,1411,0,0,1504,0,9,0,0,0,0,0,1612,511,0,0,0,0,0,2778,0,0,16,0,0
13.444,4.317,3.592,399,0,0,360,0,0,0,0,1110,92,0,11051,0,61,120,125,0,53,0,0,0,0,36,0,206,0,0,756,223,0,0,0,1275,28,497,0,0,0,0,0,0,0,0,2302,0,0,0,105,0,0,0,270,2542,0,928,0,0,0,0,6,0,0,0,0,0,1176,1396,0,22,0,0,4,58,0,0,0,0,0
148.773,65.891,49.326,0,136,0,0,0,0,0,0,1041,227,15,6256,0,40,185,296,0,106,0,0,0,0,11,0,0,0,0,995,205,0,0,0,1601,0,501,0,0,0,9,0,0,0,0,1168,0,0,0,0,0,246,0,419,2514,0,441,0,0,0,0,2268,0,0,0,0,0,1122,469,0,0,0,0,0,151,0,0,0,0,0
393.576,74.665,86.228,0,52,0,51,0,0,0,413,573,11,0,17548,0,201,0,238,43,490,0,0,0,0,31,0,1336,0,0,0,176,0,0,0,973,0,686,0,0,0,0,15,0,0,27,1893,0,0,0,0,0,0,0,546,1683,0,1990,0,0,233,0,0,0,0,0,0,0,1010,2743,0,5,0,0,0,923,0,0,0,0,0
143.341,49.012,66.871,0,236,0,0,0,0,0,0,764,812,0,6604,0,0,13,512,69,56,0,0,0,0,34,0,805,0,0,0,405,0,0,0,7620,0,1370,0,0,0,0,64,0,0,0,1920,0,0,0,0,0,0,0,348,1058,0,810,0,0,217,0,0,0,0,0,0,0,1518,146,0,0,0,0,0,150,0,0,0,0,0
175.871,89.666,134.466,0,376,0,0,0,0,0,132,0,20,0,10742,0,198,139,1214,94,38,0,0,0,0,147,0,22,0,0,1546,198,0,0,0,7838,0,3626,0,3,116,0,17,0,0,0,571,0,12,0,0,0,0,0,491,1274,0,459,0,0,802,0,0,0,0,0,0,0,3257,2696,0,0,33,0,571,91,0,47,445,0,0
105.232,36.581,56.082,0,294,0,0,4,0,0,0,961,294,0,17883,0,116,40,441,0,75,0,0,0,0,0,0,896,0,0,0,425,0,0,0,4296,0,898,0,0,254,0,20,0,0,118,2116,0,0,0,0,0,0,0,486,2025,0,2049,0,0,119,0,5,0,0,0,0,0,2477,1750,0,0,0,0,0,894,0,10,0,0,10
30.372,12.804,9.563,0,101,0,0,0,0,0,798,310,0,0,2706,0,1519,110,124,27,227,0,0,0,0,579,0,688,0,0,1285,650,0,446,0,1447,0,1257,0,0,0,0,0,0,0,0,546,4,0,0,0,23,0,0,140,1996,29,411,388,0,0,0,6216,0,0,0,0,0,920,1652,0,0,0,0,21,2,0,0,0,0,0
116.886,41.661,41.686,293,0,0,0,0,0,0,0,746,43,0,11750,0,0,0,270,66,0,0,165,0,0,0,0,644,0,0,1007,13,0,0,0,1869,0,1198,0,0,0,0,0,0,0,0,1783,0,0,0,0,0,0,0,298,1408,0,1032,850,0,190,0,0,0,0,0,0,0,1258,335,0,0,0,0,0,1180,0,0,32,0,0
70.831,39.161,25.248,155,35,0,155,0,0,0,143,706,18,0,10587,0,0,111,205,63,64,0,0,0,0,0,0,253,0,0,40,111,0,0,0,1191,0,1204,0,0,0,0,3,0,0,0,480,0,0,0,0,21,0,0,104,1378,0,1007,833,0,1051,0,303,0,0,0,0,0,1692,1053,0,0,0,0,7,801,0,0,0,0,0
177.743,93.396,100.359,0,155,0,0,0,0,0,0,755,926,0,5828,0,76,216,138,0,93,0,0,0,0,0,0,251,0,0,1283,115,0,0,0,2413,0,527,0,0,365,0,0,0,0,0,1789,0,0,0,0,0,115,0,221,1664,0,841,0,0,0,0,4245,0,0,0,0,0,2355,1411,0,0,0,0,132,889,0,16,71,0,0
81.992,31.388,133.066,0,64,0,0,0,4,0,0,599,1106,0,13206,0,50,37,139,0,0,0,0,0,0,0,0,281,0,0,0,131,0,0,0,3514,0,1403,0,0,213,0,33,0,0,0,3051,0,0,0,0,0,0,0,297,2400,0,1831,0,0,469,0,0,0,0,0,0,0,908,493,0,0,0,0,0,1290,0,37,0,0,0
85.161,53.652,60.687,0,0,0,0,0,0,0,112,583,0,0,5894,0,0,5,50,0,220,0,0,0,0,6,0,66,7,334,93,69,0,0,0,1686,0,417,0,0,106,0,0,0,0,0,442,2,0,0,793,0,688,0,200,1952,0,991,103,0,1298,0,6730,0,0,0,0,0,307,300,0,0,0,0,0,925,0,0,0,0,0
13.661,6.699,9.521,349,166,0,323,0,11,0,0,1043,0,22,4439,0,74,69,143,0,107,22,0,0,0,48,0,39,0,0,783,283,0,0,0,679,24,178,0,0,0,0,0,0,0,0,1360,0,0,0,190,0,0,0,188,2308,0,857,0,0,258,38,26,0,0,0,0,0,293,1939,0,0,0,0,0,0,0,0,0,24,0
124.184,39.622,44.17,0,0,0,0,0,0,0,157,837,81,0,8650,0,0,89,116,42,86,0,0,0,0,9,0,1554,0,109,0,40,0,0,0,1275,0,190,0,0,16,0,0,0,0,889,1383,0,0,0,0,34,0,0,420,2288,0,1128,813,0,610,0,595,0,0,0,0,0,1112,1731,0,0,0,0,18,443,0,11,0,0,0
553.454,163.003,112.658,0,100,0,0,0,0,8,461,386,0,0,18449,0,67,23,1067,70,434,0,0,0,0,20,0,1514,0,0,0,246,0,0,0,1329,0,719,0,0,0,0,10,0,0,0,1356,0,0,0,0,0,0,0,687,2631,0,2661,0,0,362,0,0,0,0,0,0,0,613,2129,0,0,0,0,0,1332,0,0,0,0,0
181.417,80.774,164.793,0,259,0,0,0,0,0,0,753,531,0,11338,0,125,130,772,34,0,0,0,0,0,14,0,249,0,0,0,347,0,0,0,4669,0,735,0,0,0,0,33,0,0,393,1425,0,0,0,0,0,0,0,343,1302,0,1240,0,0,556,0,0,0,0,0,0,0,2074,193,0,0,0,0,29,409,0,0,0,0,0
275.701,62.689,67.093,0,153,0,0,0,0,0,121,0,0,0,6478,0,0,0,454,17,23,0,0,0,0,0,0,0,0,0,209,51,0,0,0,4307,0,886,0,0,32,0,0,0,0,0,150,0,0,0,0,0,0,0,397,994,0,262,0,0,365,0,0,0,0,0,0,0,477,1937,0,0,0,0,0,46,0,0,111,0,0
45.283,20.746,15.694,0,76,0,0,0,0,0,2104,370,38,0,3738,0,631,136,67,40,439,0,0,0,0,482,0,744,19,0,665,309,0,389,0,978,0,1119,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,137,2624,46,349,291,0,0,0,1503,0,0,0,0,0,588,1225,0,0,0,0,21,0,0,0,0,0,0
65.327,25.851,13.996,420,0,0,0,0,0,0,0,435,264,0,11842,3,0,0,59,58,0,0,105,0,0,5,0,550,0,0,745,36,0,0,0,1837,0,967,0,0,0,0,0,0,0,0,1931,0,0,0,0,0,0,0,348,2329,0,1191,1178,0,324,0,0,0,0,0,0,0,468,471,0,0,0,0,99,829,0,6,149,0,0
227.418,60.232,67.117,0,0,0,0,0,0,0,0,604,78,0,10733,0,0,17,183,27,137,0,0,0,0,0,0,889,0,0,89,197,0,0,0,1434,0,781,0,0,10,0,0,0,0,0,945,0,0,0,0,0,0,0,335,1542,0,492,665,0,0,0,0,0,0,0,0,0,1114,1073,0,0,0,0,12,121,0,0,0,0,0
113.535,74.565,54.451,348,0,0,0,0,0,0,0,320,155,0,9262,0,34,0,387,92,0,0,212,0,0,18,0,0,0,0,870,140,0,0,0,1150,0,439,0,0,16,0,0,0,0,0,1101,0,0,0,0,0,0,0,208,1572,0,1207,1475,0,104,0,0,0,0,0,0,0,350,12,0,0,0,0,2,182,0,0,284,0,0
14.888,9.491,10.1,173,19,0,477,0,0,0,975,468,0,0,8912,0,0,250,0,0,26,0,0,0,0,10,0,72,6,243,1167,82,0,0,0,1002,0,1112,0,0,28,0,0,258,0,0,187,0,0,0,164,0,0,0,180,2198,19,1009,485,0,0,0,1432,0,0,0,0,0,1563,995,0,0,0,0,57,55,0,0,52,0,0
99.196,62.989,97.313,0,540,0,0,0,0,0,0,730,327,0,5615,0,0,136,908,146,27,0,0,0,0,0,0,135,0,0,1471,255,0,0,0,2630,0,465,0,0,154,0,0,0,0,0,1239,0,0,0,0,0,181,0,209,1275,0,943,0,0,0,0,3624,0,0,0,0,0,2212,384,0,0,0,0,0,1402,0,27,111,0,0
100.03,60.573,59.668,0,112,0,0,0,0,0,0,727,218,0,5464,0,66,119,301,26,76,0,0,0,0,25,0,190,0,0,1082,180,0,0,0,1733,0,795,0,0,17,0,0,0,0,0,1228,0,0,0,0,0,323,0,306,2626,0,907,0,0,0,0,8212,0,0,0,0,0,810,566,0,0,0,0,0,1602,0,0,3,0,0
116.902,47.439,76.467,0,143,0,0,0,0,0,0,808,679,0,12545,0,0,57,91,0,76,0,0,0,0,0,0,113,0,0,0,73,0,0,0,3515,0,451,0,0,0,0,31,0,0,0,1177,0,0,0,0,0,0,0,191,1064,0,1383,0,0,665,0,0,0,0,0,0,0,1373,1273,0,0,0,0,0,898,0,0,0,0,0
131.356,62.184,63.317,0,292,0,0,0,0,0,32,836,237,0,6209,0,0,143,196,0,82,0,0,0,0,0,0,11,0,0,1062,76,0,0,0,2713,0,622,0,0,246,0,0,0,0,0,1987,0,0,0,0,0,215,0,252,1473,9,933,0,0,0,0,3497,0,0,0,0,0,1511,1484,0,0,0,0,0,420,0,12,38,0,0
542.427,100.261,122.363,0,219,0,437,0,0,18,505,344,0,0,12628,0,221,36,1426,123,270,0,0,0,0,36,0,1737,0,0,47,340,0,0,0,2417,0,768,0,0,63,0,12,0,0,66,1629,0,0,0,0,0,0,0,691,3221,0,1079,0,0,219,0,0,0,0,0,0,0,1905,1288,0,0,0,0,47,1129,0,0,0,0,0
142.701,59.795,123.684,0,120,0,0,0,0,0,0,638,510,0,11632,0,0,42,363,0,0,0,0,0,0,0,0,797,0,0,0,65,0,0,0,4602,0,438,0,0,13,0,33,0,0,106,1149,0,0,0,0,0,0,0,289,1479,0,1199,0,0,1022,0,0,0,0,0,0,0,1646,80,0,0,0,0,0,672,0,0,66,0,0
347.296,129.333,75.297,0,690,0,0,0,0,0,0,2265,262,0,9554,2,54,183,1465,152,166,0,0,0,0,35,0,47,0,0,340,513,0,0,0,2302,0,740,0,0,0,0,0,0,0,0,318,17,0,0,0,0,24,0,606,1627,51,718,0,0,0,0,1312,0,0,0,0,0,6072,1035,0,0,0,0,0,49,0,56,0,0,0
120.079,44.418,104.783,0,110,0,0,0,0,0,0,985,85,0,12919,0,103,0,917,54,43,0,0,0,0,0,3,578,0,0,0,326,0,0,0,3070,0,947,0,7,225,0,0,0,0,197,1943,0,0,0,0,0,0,0,554,1103,0,2007,0,0,0,0,0,0,0,0,0,0,3415,1849,0,0,0,0,0,390,0,0,0,0,0
112.119,53.11,50.819,0,69,0,0,0,0,0,2239,282,0,0,2531,0,93,101,177,57,352,0,0,0,0,104,0,1990,0,0,1222,203,0,44,0,1407,0,943,0,0,0,0,0,0,0,0,1069,0,0,0,0,0,0,0,172,1825,38,581,592,0,0,0,9043,0,0,0,0,0,1245,1127,0,0,0,0,33,71,0,0,18,0,0
178.29,57.952,55.766,810,39,0,0,0,0,0,0,595,73,0,11615,0,0,0,173,44,0,0,203,0,0,27,0,163,0,0,1227,0,0,0,0,2447,0,393,0,0,16,0,0,0,0,0,2064,0,0,0,0,0,0,0,308,1841,0,1295,1215,0,328,0,0,0,0,0,0,0,1227,88,0,0,0,0,12,739,0,5,73,0,0
183.386,110.527,129.932,404,0,0,0,0,0,0,0,556,0,0,12690,0,0,0,269,0,0,0,201,0,0,0,0,258,0,0,1012,53,0,0,0,1479,0,766,0,0,209,0,0,0,0,0,2446,0,0,0,0,0,0,0,306,1997,0,1316,1276,0,496,0,0,0,0,0,0,0,827,520,0,0,0,0,87,464,0,0,268,0,0
